Index,Title,RED,GREEN,BLUE,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2,RGB AVG
500,Diablo III,36.42,16.48,12.82,0.03,0.65,36.42,0.03,24.62,-0.50,21.91
658,Evil West,133.65,56.07,39.18,0.03,0.71,133.65,0.03,86.41,-0.55,76.30
1670,Red Dead Redemption 2,135.32,54.79,37.47,0.03,0.72,135.32,0.03,86.39,-0.57,75.86
564,Dragon Marked for Death,127.15,52.03,32.27,0.03,0.75,127.15,0.03,79.71,-0.60,70.48
724,Final Fantasy Tactics,178.82,178.43,178.31,0.04,0.00,178.82,0.04,178.56,0.00,178.52
1317,Monster Truck Madness 64,104.19,101.80,101.00,0.04,0.03,104.19,0.04,102.60,-0.02,102.33
1769,Salt and Sanctuary,50.40,49.32,48.95,0.04,0.03,50.40,0.04,49.68,-0.01,49.56
935,Hidden Dragon Legend,134.94,131.40,130.13,0.04,0.04,134.94,0.04,132.53,-0.02,132.16
1399,Nier,97.55,94.42,93.52,0.04,0.04,97.55,0.04,95.54,-0.02,95.16
736,Final Fantasy XIII-2,184.33,177.23,175.32,0.04,0.05,184.33,0.04,179.83,-0.03,178.96
931,Heroes of Might and Magic III - The Restoration of Erathia,105.65,99.49,97.79,0.04,0.07,105.65,0.04,101.72,-0.04,100.98
287,C.O.P. - The Recruit,141.97,134.59,132.43,0.04,0.07,141.97,0.04,137.20,-0.03,136.33
2260,The Witcher,148.60,140.62,138.22,0.04,0.07,148.60,0.04,143.41,-0.04,142.48
339,Children of Silentown,122.38,114.92,112.32,0.04,0.08,122.38,0.04,117.35,-0.04,116.54
1276,Metroid Prime 2 - Echoes,102.73,95.11,92.35,0.04,0.10,102.73,0.04,97.54,-0.05,96.73
2249,The Touryst,144.32,131.13,126.35,0.04,0.12,144.32,0.04,135.34,-0.07,133.94
