Name,r,g,b,hue,sat_1,value,lumo,Custom Order,sat_2,red,green,blue,yellow,cyan,magenta,orange,indigo,black,white,unknown,grey
Eternal Hope,11,49,75,204.38,0.85,0,0.17,B,0.74,0,0,0,0,102,0,0,0,21509,501,43189,11
Lords of Xulima,21,37,48,204.44,0.56,0,0.14,B,0.39,0,0,0,126,0,0,429,0,24612,1,43178,22
Cave Story,122,151,171,204.49,0.29,1,0.57,B,0.23,0,0,0,0,8,0,0,0,1467,10637,41503,1697
BIT.TRIP RERUNNER,76,105,125,204.49,0.39,0,0.39,B,0.24,0,0,0,914,76,0,538,0,12524,722,43071,129
F-Zero X,61,74,83,204.55,0.27,0,0.28,B,0.15,781,0,0,269,23,0,579,0,17474,2004,42907,293
Sky Force Reloaded,109,145,170,204.59,0.36,1,0.55,B,0.26,0,0,0,0,0,0,4,0,41,4278,43046,154
Team Sonic Racing,126,146,160,204.71,0.21,1,0.56,B,0.15,393,0,31,1760,46,0,370,0,2129,3363,40683,2517
Mega Man 8,109,167,208,204.85,0.48,1,0.62,B,0.51,0,0,0,945,2,0,334,16,272,2148,43120,80
Chasm,105,147,177,205,0.41,1,0.55,B,0.32,0,0,0,0,0,0,0,0,1354,3778,43197,3
Death by Degrees,92,106,116,205,0.21,0,0.41,B,0.12,0,0,0,0,96,0,0,0,7716,2409,42271,929
Shantae and the Seven Sirens,82,96,106,205,0.23,0,0.37,B,0.13,812,2,0,213,332,0,981,9,10914,1617,42746,454
Dishonored 2,44,51,56,205,0.21,0,0.2,B,0.12,0,0,0,0,0,0,0,0,30358,1554,40945,2255
Sky Rogue,101,158,199,205.1,0.49,1,0.59,B,0.47,813,0,358,485,4744,0,489,19,63,5607,43184,16
Evan's Remains,101,155,194,205.16,0.48,1,0.58,B,0.43,0,0,33,1,241,0,162,0,2,7019,43020,180
The Legend of Heroes - Trails in the Sky,131,149,162,205.16,0.19,1,0.57,B,0.14,79,0,0,0,540,0,1,0,506,4774,39759,3441
Portal,72,87,98,205.38,0.27,0,0.33,B,0.15,0,0,0,0,4,0,0,0,11193,4289,42676,524
Halo - Combat Evolved,126,134,140,205.71,0.1,1,0.52,B,0.06,0,0,465,0,0,0,0,0,8545,8914,38618,4582
Redneck Ed Astro Monsters Show,113,125,134,205.71,0.16,1,0.48,B,0.09,189,0,2,150,303,0,1080,0,1406,1508,42632,568
Bravely Second - End Layer,86,114,135,205.71,0.36,1,0.43,B,0.22,0,0,0,0,0,0,0,0,3521,8581,43176,24
